task_name,original_id,browsergym_split,difficulty,time_dependency
assistantbench.validation.0,b36ef2d8f2643b80e74a44ce3403f674ecb2aed7fd36afeaa289061a59feef92,valid,Hard,Unlikely
assistantbench.validation.1,a9074997e698f912b9e751779ea19c1e92fa148404e90e0ae997acea3f9559b0,valid,Hard,Unlikely
assistantbench.validation.2,2aa5dd83fbcd0dce9a3dd4592106e5b5edf738008d932e357d477bba80e59ccf,valid,Medium,Static
assistantbench.validation.3,2ddae3b7a208e3c25f14d82d7a1faaaa1832fbf950b4dac345e755c4c361f294,valid,Medium,Static
assistantbench.validation.4,797f7a5b65ca28b7e7156e7db1e9f117bd4a021de0cd512bfdbb0be897d89eab,valid,Hard,Unlikely
assistantbench.validation.5,4e615af6f0348597b4133cc1ec5418bb3f35328e3d95e23a275027cee97b5e09,valid,Hard,Unlikely
assistantbench.validation.6,c7afe00869f98cf363fd83677ac41757ed5e57f03eacc3d1304feb0a92084bd1,valid,Medium,Unlikely
assistantbench.validation.7,57d9dc6935e8a40b02e7f8ec81768fe70e68a0c05f6866927c9fda38db38a486,valid,Hard,Unlikely
assistantbench.validation.8,748899d9d70c09beb3bd48ac8a3658bdcfd2f9114fe6dc4c4b8d2f9541ef4607,valid,Hard,Unlikely
assistantbench.validation.9,9e31099fffa6a3891c94934fd4fc2f3f522d51c1904ff3561f3a10e4bf245821,valid,Medium,Static
assistantbench.validation.10,291b53e665b4dd4365cde995042db4a6f6fecef3fe3a6f4482f23d61bd673918,valid,Hard,Static
assistantbench.validation.11,8fa42360185068216f2919935148d4e1ad28ddc18da0abd0f4bb0b6b6f84b127,valid,Medium,Static
assistantbench.validation.12,3af8028c2a59e28ca88baff0e6d91f2a9f170c5ef91003f1c8406755a2760ad4,valid,Medium,Stable
assistantbench.validation.13,6b06d186921b8b390c65aebd0d16f09f60a47d2f1288ebe36953f734e84c0a3c,valid,Hard,Static
assistantbench.validation.14,9bdca8677af1e25cb7b0c7992dc62670c3e58e4afcd5ae60bcaa2483556bba00,valid,Medium,Unlikely
assistantbench.validation.15,557e78eceec08ca8b0da5f9fdaca6e1c7ec6140a8ce600983ee716327dab005e,valid,Hard,Unlikely
assistantbench.validation.16,fb9ba3ab6a13d0adc677f993e90d54914a5cdf211305a1bba6bf16ec4ccb9b7c,valid,Medium,Stable
assistantbench.validation.17,52f7224e9c79431e7926afe317782711a0028750693e7456cde22ef6f4bd8bd5,valid,Medium,Unlikely
assistantbench.validation.18,0ec4371851b96837b0a81b3dd3df401415061bb532fbafeb4609f3337c358508,valid,Hard,Unlikely
assistantbench.validation.19,6f224e7730ed027cbac73aebb1aea7f954053082041b02b19f4ff126a0a8a208,valid,Hard,Static
assistantbench.validation.20,99da66d8af02491f98b98c56b26c709e773b5a2ad945fb280375951ba600de09,valid,Medium,Unlikely
assistantbench.validation.21,ccec2229ced20a4b0cb4897e3a99120a3017ea030903e01c9bda6b13d40b0b14,valid,Medium,Unlikely
assistantbench.validation.22,9baaa267c95f9d8b75741ee9169c50563d297cfa592c20deaffd30dbc5984c74,valid,Medium,Static
assistantbench.validation.23,6e3be83d1949fa52cba03fb1ce4b5b3bf7e37a83fd7d67694b10b2e439d90cf8,valid,Hard,Unlikely
assistantbench.validation.24,e2dc3a6b10b762e8aba7fa4d4e70f757f6d04dcbc8b56c48fc53fd9928d31d07,valid,Medium,Static
assistantbench.validation.25,f88066d274e265edd6cd9d61cd80a41accb3a14baf2297652fdd05cdf716d455,valid,Hard,Unlikely
assistantbench.validation.26,e6bc98089608217e45b6956a46518fe3cce64a799b3ac43c6974c449ae14c408,valid,Hard,Static
assistantbench.validation.27,8ad84bd6fe38481ba49e7ad1f6fbd43219a999074e5c6fc940003281f55ec65b,valid,Hard,Unlikely
assistantbench.validation.28,55f4258484c5b398956133128a50462a767da211f8f72aa5ac5bbffb9bcbba1a,valid,Hard,Unlikely
assistantbench.validation.29,4dbedc5e1a0205e14b7ff3ba89bce3060dab15d0ada3b7e1351a6f2aa8287aec,valid,Hard,Static
assistantbench.validation.30,929b45f34805280d77c61d1e093e3d4e551d77ddb6ecd73552b12b1af286388d,valid,Hard,Static
assistantbench.validation.31,cca4776df3c73e7f9430a2e624aafad056b14322a0b7ca6c0c22b7e7f3f0890a,valid,Hard,Static
assistantbench.validation.32,efc0f3a47e9ed2ecdbcc037c2093865fe6e39f4d413a5d1ccdc7357160a4606b,valid,Medium,Static
assistantbench.test.0,00505300c5e2055a81f13b097e70c6c17420807397476c173b64be2397963d59,test,,Unlikely
assistantbench.test.1,02f02d5fa279e6db52db4feeacf0e609c59a0b8942c42e6ef7bd250cc9ed6c82,test,,Unlikely
assistantbench.test.2,03738b82119ccb19dafb08482073e72230eac9dc5795c343090513130c3826d5,test,,Unlikely
assistantbench.test.3,093801d638247024e59893033aa8761f45804796a16c91e3cf0209cf083ca13e,test,,Static
assistantbench.test.4,09e4811ec2b99f402f990b4156e50d1406cd5357d9f6e53b5608ebe0054033c8,test,,Static
assistantbench.test.5,0a4b6a5b08ecc0c66441a1b753cf906ab19e161881780a1187a4cb1e4a498d2f,test,,Unlikely
assistantbench.test.6,0badf85df8ca5522b2c456ac0a49752ae19f866253d59f2994bcad0830a4220f,test,,Static
assistantbench.test.7,0be81f1de07ab255d02536becd22bd030f6c5b9feb01a584eeeef8990c7acb54,test,,Stable
assistantbench.test.8,0cc9eaba778ea2e112069e36be0b613a6c854d875bcf827f342b487cfd74379b,test,,Unlikely
assistantbench.test.9,0f017fe70543669ddadf17cb22b2acfd0146e20dd80766fb815df5d9b8ce35c4,test,,Unlikely
assistantbench.test.10,13bde87833425ea94d2d6f1975dd973d53ca0eaddcff2653e778f32c86b687e1,test,,Static
assistantbench.test.11,1c11784ee137592a9b4a259caf0da749af5b983b7a2dbc817a3a9650ee01a7fd,test,,Unlikely
assistantbench.test.12,1d669a5aaef6fe91bfe53025073f4e022687bde4d3a97d6546f0b57f631f1af4,test,,Static
assistantbench.test.13,1f6a23c598211fa0057378e045778b688378c3cbf22ac9deca7b5c392b29767c,test,,Static
assistantbench.test.14,211ace94acd5df42b52ab308ab1d79c3dc81e41cb093cef185ed20f25e9f377a,test,,Unlikely
assistantbench.test.15,23af1c205e19bd90666ec0e78e3566c4358106f3a039d48044fa2fae2dfcd0ac,test,,Static
assistantbench.test.16,23c890f1596f32b5b372ee90217971d7884ade8ee4795c9de43844215a516342,test,,Unlikely
assistantbench.test.17,253e2a8ed662a82223029f97259706fa4f892cb9cecc5b79ab0970679618e4d0,test,,Stable
assistantbench.test.18,295c401c9dd5fa1de8a967d2b96eb9c5507985185e0733637f53c2e9cf255e59,test,,Static
assistantbench.test.19,2987f2915a8642a0a85335c0ca7e5b4e35653aa2a353b020824087c84091a9ba,test,,Unlikely
assistantbench.test.20,2bedecc055920566a97e6f049dc9c722d7a8d46adff62bcb096904e7e3783c04,test,,Static
assistantbench.test.21,2f6a86fe1241c77ed3ea77056cf63868bb7f9dbe7794b36d62d9fa4d8c680328,test,,Static
assistantbench.test.22,3248292a781c4f58507d6b40d32f5110919582722fe6ed6ba97440fd59490a54,test,,Unlikely
assistantbench.test.23,33d880072dc1f1f21b04a7c589056bad18ea97d8c929ee486b74f9fe5ed6620f,test,,Static
assistantbench.test.24,36bdda5550481760bf9280dbe06796126a015d96a792079b3c3efb24d2e03983,test,,Stable
assistantbench.test.25,37932ee7ec5102af355d8c5b8f94e64bb89e6089c2483676a1cfd98597a9adb5,test,,Unlikely
assistantbench.test.26,3940b9ef19e15c72b9f833ad4121c789ae07bf2bdc49bc2197894cc7af6a43d2,test,,Static
assistantbench.test.27,3a680dbb9b820d8875ec5cccd16d763ead31b621d3a58e551f9307baf50cef02,test,,Static
assistantbench.test.28,3d2bd6aebe882442cada9dfe268743f17b6ca4e654d34b3a10a6c4828cba209d,test,,Unlikely
assistantbench.test.29,3f54600c914123f29d029aabef69fceac3e609f8ed26c2d150736576ef177321,test,,Stable
assistantbench.test.30,3f6829e2d43b95c897328c64ee4e6c0c313723bd6420a38e24bfd840cf79eaad,test,,Unlikely
assistantbench.test.31,3f83f3527e48019c0b1596f7a1105c7b4fd2990441c3136a871767f0426167dc,test,,Unlikely
assistantbench.test.32,3fd3575287b5d561a223e201c82e1eefefeee5fdc02a0b181f54253183b4c729,test,,Unlikely
