task_name,demo_name,step,split,browsergym_split
weblinx.cptbbef.1,cptbbef,1,train,train
weblinx.cptbbef.3,cptbbef,3,train,train
weblinx.cptbbef.5,cptbbef,5,train,train
weblinx.cptbbef.6,cptbbef,6,train,train
weblinx.cptbbef.7,cptbbef,7,train,train
weblinx.cptbbef.8,cptbbef,8,train,train
weblinx.cptbbef.9,cptbbef,9,train,train
weblinx.cptbbef.11,cptbbef,11,train,train
weblinx.cptbbef.12,cptbbef,12,train,train
weblinx.cptbbef.13,cptbbef,13,train,train
weblinx.cptbbef.14,cptbbef,14,train,train
weblinx.cptbbef.15,cptbbef,15,train,train
weblinx.cptbbef.16,cptbbef,16,train,train
weblinx.cptbbef.17,cptbbef,17,train,train
weblinx.cptbbef.19,cptbbef,19,train,train
weblinx.cptbbef.21,cptbbef,21,train,train
weblinx.cptbbef.23,cptbbef,23,train,train
weblinx.cptbbef.24,cptbbef,24,train,train
weblinx.cptbbef.26,cptbbef,26,train,train
weblinx.cptbbef.29,cptbbef,29,train,train
weblinx.cptbbef.30,cptbbef,30,train,train
weblinx.cptbbef.31,cptbbef,31,train,train
weblinx.cptbbef.32,cptbbef,32,train,train
weblinx.cptbbef.33,cptbbef,33,train,train
weblinx.cptbbef.34,cptbbef,34,train,train
weblinx.cptbbef.35,cptbbef,35,train,train
weblinx.cptbbef.38,cptbbef,38,train,train
weblinx.cptbbef.39,cptbbef,39,train,train
weblinx.cptbbef.41,cptbbef,41,train,train
weblinx.cptbbef.43,cptbbef,43,train,train
weblinx.cptbbef.45,cptbbef,45,train,train
weblinx.cptbbef.46,cptbbef,46,train,train
weblinx.cptbbef.47,cptbbef,47,train,train
weblinx.cptbbef.49,cptbbef,49,train,train
weblinx.cptbbef.51,cptbbef,51,train,train
weblinx.cptbbef.52,cptbbef,52,train,train
weblinx.cptbbef.54,cptbbef,54,train,train
weblinx.cptbbef.55,cptbbef,55,train,train
weblinx.cptbbef.57,cptbbef,57,train,train
weblinx.cptbbef.58,cptbbef,58,train,train
weblinx.cptbbef.59,cptbbef,59,train,train
weblinx.cptbbef.61,cptbbef,61,train,train
weblinx.cptbbef.62,cptbbef,62,train,train
weblinx.cptbbef.63,cptbbef,63,train,train
weblinx.cptbbef.65,cptbbef,65,train,train
weblinx.cptbbef.66,cptbbef,66,train,train
weblinx.cptbbef.67,cptbbef,67,train,train
weblinx.cptbbef.69,cptbbef,69,train,train
weblinx.cptbbef.71,cptbbef,71,train,train
weblinx.cptbbef.73,cptbbef,73,train,train
weblinx.cptbbef.75,cptbbef,75,train,train
weblinx.cptbbef.76,cptbbef,76,train,train
weblinx.cptbbef.78,cptbbef,78,train,train
weblinx.lgqpvah.1,lgqpvah,1,train,train
weblinx.lgqpvah.3,lgqpvah,3,train,train
weblinx.lgqpvah.4,lgqpvah,4,train,train
weblinx.lgqpvah.5,lgqpvah,5,train,train
weblinx.lgqpvah.6,lgqpvah,6,train,train
weblinx.lgqpvah.7,lgqpvah,7,train,train
weblinx.lgqpvah.8,lgqpvah,8,train,train
weblinx.lgqpvah.9,lgqpvah,9,train,train
weblinx.lgqpvah.10,lgqpvah,10,train,train
weblinx.lgqpvah.11,lgqpvah,11,train,train
weblinx.lgqpvah.12,lgqpvah,12,train,train
weblinx.lgqpvah.13,lgqpvah,13,train,train
weblinx.lgqpvah.14,lgqpvah,14,train,train
weblinx.lgqpvah.15,lgqpvah,15,train,train
